cableId,factor
4,2.475786551511413
5,2.0002598077422706
6,3.001033235749957
7,9.654847645429363
8,4.447718082033506
9,2.0
10,2.2203104544604453
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,3.343137254901961
5,4.841302136317396
6,2.005257009345794
7,7.115025906735751
8,2.00042034468264
9,2.229602023159856
10,1.9998806112702958
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000258665287119
3,1.0
4,5.388850174216028
5,2.493040415898038
6,9.154803384768542
7,2.4299114810410885
8,2.0
9,2.274016468435499
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9998604521350825
3,1.0
4,2.025869380831213
5,3.204347826086957
6,2.198416625432954
7,8.436075949367087
8,2.0027173913043477
9,2.112403100775194
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0001859081613684
3,1.0
4,7.461165048543689
5,6.911724137931034
6,3.0587583148558757
7,7.754356379988757
8,2.000399201596806
9,3.38265306122449
10,2.000143657520471
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.5126324368378157
3,1.0
4,2.0
5,2.0
6,3.4790911625313634
7,3.2698807808201233
8,9.57029702970297
9,2.2913586883483403
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,4.156531973322872
3,1.0
4,1.999811249528124
5,2.323634315749953
6,14.27593152064451
7,2.0
8,2.0
9,2.6815960912052117
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.933713102019679
3,1.0
4,2.0
5,2.0
6,14.145245559038663
7,2.0001477541371155
8,4.957983193277311
9,2.534329023629068
10,2.000175932441942
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,4.323582520765619
5,2.7840616966580973
6,2.520807259073842
7,2.0777562862669248
8,2.0001420656343227
9,1.9997501249375311
10,3.275890298812935
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.6969344198680636
3,1.0
4,1.9997900923593617
5,12.083862770012706
6,4.313912883661092
7,19.051948051948052
8,2.0
9,1.9997956681651003
10,2.0818974686236973
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0961764015951205
3,1.0
4,2.0
5,3.482117713320192
6,2.812830827863646
7,11.80888888888889
8,2.000161759948237
9,1.9998583970546584
10,2.6231426448736994
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,6.7315084449621425
3,1.0
4,2.0
5,1.9998274672187715
6,4.930266789328426
7,8.142206016408387
8,4.087094499294781
9,1.9997866439086838
10,3.5423280423280423
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0002111486486487
3,1.0
4,2.156385158206237
5,2.0
6,5.059065934065933
7,3.112942419440042
8,2.4016983570241828
9,2.833656455990694
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.2337272556743573
3,1.0
4,2.0
5,2.8020035356511492
6,5.5158054711246205
7,6.318593314763231
8,2.0004206983592763
9,3.656364749082007
10,1.9998326359832634
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.1041340782122906
5,2.7680388529139686
6,3.7291748914330833
7,2.1709951735233277
8,1.9998329156223893
9,3.37521815008726
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.472954230235784
3,1.0
4,2.0
5,27.586206896551726
6,5.318743735382559
7,2.123099493198186
8,2.0
9,2.0
10,7.395
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.8733780760626395
5,5.244937949052907
6,2.9705054098117682
7,4.399034240561896
8,2.0
9,3.0152143845089903
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.68360655737705
3,1.0
4,2.000192307692308
5,5.485330073349633
6,2.59009009009009
7,2.6951921789205837
8,2.000445831475702
9,1.999814540059347
10,3.143731778425656
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.1324408319388
3,1.0
4,2.000152648450618
5,2.0
6,2.606917445089624
7,3.3064361191162344
8,2.8005787316132142
9,2.212108108108108
10,1.999804534792807
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,5.991510006064281
3,1.0
4,2.0
5,1.9996140486298728
6,2.522420108627005
7,5.798490127758421
8,9.559040590405905
9,2.1835464915312826
10,2.000316656111463
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,15.186440677966104
3,1.0
4,2.0
5,2.643635321100917
6,2.7904325472225326
7,8.394754539340955
8,2.000216919739696
9,2.0
10,3.397217117353636
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.044058462190214
5,2.0
6,33.92395437262358
7,2.5970018920098967
8,2.2401211968185835
9,2.027201857687842
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.1187656570257345
3,1.0
4,2.0001074922068147
5,21.732227488151658
6,2.86178126256534
7,5.586538461538462
8,2.0002181025081787
9,21.50936329588015
10,1.9996518105849583
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.031316123571731
5,1.9998620118669796
6,5.054884918718815
7,3.5355172801981314
8,2.898020395920816
9,3.3911509229098806
10,1.9998399231631185
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0002526528549773
3,1.0
4,2.3021227100901425
5,2.0981787480400436
6,3.5300683371298405
7,3.9659628918745997
8,2.0
9,16.75
10,2.000273897562312
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.776945812807882
3,1.0
4,2.0001419244961682
5,1.9998374248089743
6,2.2123504754115118
7,9.400086880973067
8,4.047713063507733
9,3.4785714285714286
10,2.000315955766193
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.999778516057586
3,1.0
4,2.8892800000000003
5,2.0001673360107097
6,4.383169657974941
7,2.7109644989004087
8,3.519729093050648
9,1.999797160243408
10,14.371720116618075
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0001449065352848
3,1.0
4,3.7124798278644433
5,2.0
6,6.04
7,3.400333611342786
8,4.15428390768258
9,2.396256123163051
10,2.000146028037383
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.871612782657447
3,1.0
4,2.0
5,1.9998297002724796
6,6.454583246726252
7,3.1187104549563123
8,3.7020807061790673
9,1.999685039370079
10,2.475243664717349
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,8.08108108108108
3,1.0
4,2.0
5,4.083182640144665
6,2.8114014801110083
7,3.26919456770203
8,2.0
9,2.0
10,2.977272727272727
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.265263157894737
3,1.0
4,2.0
5,2.0
6,5.114156626506023
7,4.504908463783497
8,2.0159965412883705
9,1.9996052112120017
10,2.168236301369863
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.071428571428571
3,1.0
4,2.0
5,23.64310954063604
6,3.2708221960868173
7,5.4020837012184355
8,2.000298953662182
9,2.9189358372456966
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000717360114778
3,1.0
4,3.7894021739130435
5,5.2255083179297594
6,21.51683633516053
7,4.380899234693877
8,1.999292786421499
9,2.0001668335001668
10,5.073635209479476
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,6.682255845942229
3,1.0
4,2.0
5,11.752981260647358
6,2.4148389307745033
7,2.743964174454829
8,2.000289939112786
9,2.0002760143527465
10,2.0723477266228194
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,3.2635658914728682
5,2.175394846217789
6,5.730523981147768
7,4.7224126113776554
8,2.000109182225134
9,3.681526619627967
10,2.0001742463843875
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.023574222771258
3,1.0
4,2.00010175010175
5,1.999810999811
6,13.859205776173285
7,3.8598431530263424
8,2.159387755102041
9,2.079658077304262
10,1.999880867286157
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9995007488766847
3,1.0
4,3.036391205458681
5,2.0001891431813883
6,4.336033229491173
7,5.606337271750805
8,13.76953125
9,2.165915674283875
10,1.9998514115898962
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9997803645947725
3,1.0
4,2.9192048733568448
5,1.999831166638528
6,3.6126866694067683
7,8.26614420062696
8,2.8597295992274265
9,2.0
10,2.0665999714163212
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,4.769813225643614
3,1.0
4,1.9997883597883597
5,1.9997647058823529
6,11.914119359534206
7,2.252958987063033
8,4.1846381093057605
9,2.0
10,5.950124688279302
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.446999695400548
3,1.0
4,2.0001244864932155
5,2.8034428794992174
6,7.615350089766606
7,2.973015594883476
8,1.999776735878544
9,2.0002093364036004
10,2.91044776119403
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.999796541200407
3,1.0
4,2.720453916412953
5,3.2964096854995826
6,5.704890387858347
7,3.249759846301633
8,2.0
9,4.572178477690289
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.6993615786419034
3,1.0
4,2.0004301075268818
5,5.105898123324397
6,2.087312828814245
7,2.925138239047214
8,1.9998249912495625
9,2.000105274239394
10,2.0064420741366567
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.4866262081366597
3,1.0
4,2.000180799132164
5,6.434579439252336
6,4.101485148514851
7,2.564486174164259
8,2.000207511931936
9,2.0
10,38.0979020979021
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9997425334706487
3,1.0
4,5.338144329896907
5,2.536702767749699
6,1.9998698425094366
7,8.002604166666668
8,2.0
9,1.9997839239412272
10,2.4259501965923986
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,5.209617755856967
5,2.084525830705797
6,21.8544474393531
7,2.280089988751406
8,1.9998836532867945
9,2.0070559975979583
10,2.0001496110113703
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.6669980119284293
5,2.0001986886548777
6,35.11275415896488
7,2.0
8,74.57037037037037
9,2.0
10,2.0090456806874717
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0009250693802034
3,1.0
4,15.56115107913669
5,2.0
6,7.047049749325105
7,15.101652892561983
8,2.1857789744217353
9,2.000226090888537
10,15.02037351443124
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.3714151386929947
5,2.000356760613628
6,2.1544056525353286
7,7.049982998979939
8,4.699916177703269
9,6.374269005847952
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,1.9997059688326966
3,1.0
4,34.175879396984925
5,3.3860740740740742
6,11.374999999999998
7,21.0
8,2.0
9,2.0
10,2.6828103683492497
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.613926119646943
3,1.0
4,2.0
5,9.196703296703296
6,2.000156887354879
7,3.742001761080129
8,2.0002390057361374
9,1.999710144927536
10,6.698058252427184
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.4381473519640413
5,3.691599218531957
6,51.56640624999999
7,2.000151515151515
8,1.9998488055639554
9,2.0
10,2.3026004728132388
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0002204099625303
3,1.0
4,11.649550706033375
5,29.961988304093566
6,12.227572225038013
7,3.114108687233768
8,1.9998048399687742
9,6.618637992831541
10,2.0002166377816293
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0326129666011785
3,1.0
4,2.0
5,2.0
6,16.887640449438205
7,21.995121951219513
8,6.8064228367528985
9,2.000181851245681
10,4.894971072541166
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000163880694854
3,1.0
4,2.930372148859544
5,2.14164506245581
6,2.4757653061224487
7,6.998798076923077
8,2.0
9,2.0
10,2.5081397475763674
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.4892550143266474
3,1.0
4,1.9998081718779972
5,2.1237408113258915
6,14.493333333333334
7,2.154496140204465
8,1.9998718113062426
9,2.707248195795419
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,3.2490774907749076
5,3.137029955385596
6,4.314956096156615
7,2.996700989703089
8,2.0
9,1.9972602739726029
10,2.0138121546961325
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.010872759330003
3,1.0
4,2.0
5,2.0002193463478832
6,3.0255267423014587
7,3.246874660289162
8,2.0305054553551547
9,12.54492415402567
10,2.000186046511628
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000105574324324
3,1.0
4,2.0303290108241345
5,3.520047169811321
6,19.633004926108374
7,2.381298546106353
8,2.0
9,1.999875482505292
10,2.5656549520766774
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000484966052376
3,1.0
4,3.9855072463768115
5,2.903459821428571
6,6.154179990863408
7,3.49591280653951
8,1.9996156802459648
9,7.833214030064424
10,1.9998172514619885
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.1857297005664957
3,1.0
4,1.9998765889176848
5,2.0001664447403464
6,5.008791208791209
7,3.1557150050352467
8,3.3955919751342187
9,2.303366388308977
10,2.0001133016088826
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,41.15283842794759
3,1.0
4,2.0
5,6.30567081604426
6,4.392352941176471
7,3.0568007368744246
8,2.0
9,7.163698049194233
10,2.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.3616200578592093
5,5.5095238095238095
6,2.514465577283686
7,8.325055432372505
8,2.0
9,2.0002263467632413
10,2.425082327113063
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,4.120088138082997
3,1.0
4,1.9998217468805704
5,2.344447053298896
6,2.8244587478057346
7,6.361779242174629
8,2.0002003205128203
9,2.0614665298209602
10,2.0001106439477763
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.256596906278435
5,2.00025182573659
6,7.287561810574363
7,3.315853236413984
8,3.0585290720061615
9,2.0001381788033714
10,2.3309178743961354
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.000259403372244
3,1.0
4,2.2881305637982194
5,2.0
6,9.681472081218274
7,2.7853231106243155
8,3.164861612515042
9,1.9998308811094199
10,5.7347235693501455
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0001642305797342
3,1.0
4,4.636086791016369
5,2.0
6,13.311261730969761
7,3.1349459724950886
8,2.2057399723374824
9,2.0003265839320705
10,3.8114499066583694
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,3.4072052401746724
5,7.072522982635342
6,2.1440695947379584
7,5.529411764705882
8,2.0
9,3.367366878358574
10,1.9997098926602845
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,2.0
3,1.0
4,2.6298568507157465
5,3.2155844155844155
6,3.4231544238871585
7,3.227461139896373
8,2.0
9,2.3545212765957446
10,1.9997741133950755
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
1,1.0
2,3.043990573448547
3,1.0
4,1.9994840041279671
