File Name,Idx Repetition,Nb. UFuses,Nb. Configurations,Nb. Valid Conf.
realcase-Sub2.json,8,12,4096,24
realcase-Sub2.json,8,13,8192,35
realcase-Sub2.json,8,14,16384,36
realcase-Sub2.json,8,15,32768,48
realcase-Sub2.json,8,16,65536,48
realcase-Sub2.json,9,0,1,1
realcase-Sub2.json,9,1,2,1
realcase-Sub2.json,9,2,4,4
realcase-Sub2.json,9,3,8,4
realcase-Sub2.json,9,4,16,2
realcase-Sub2.json,9,5,32,10
realcase-Sub2.json,9,6,64,8
realcase-Sub2.json,9,7,128,12
realcase-Sub2.json,9,8,256,16
realcase-Sub2.json,9,9,512,18
realcase-Sub2.json,9,10,1024,20
realcase-Sub2.json,9,11,2048,15
realcase-Sub2.json,9,12,4096,18
realcase-Sub2.json,9,13,8192,40
realcase-Sub2.json,9,14,16384,48
realcase-Sub2.json,9,15,32768,48
realcase-Sub2.json,9,16,65536,48
realcase-Sub3.json,0,0,1,1
realcase-Sub3.json,0,1,2,1
realcase-Sub3.json,0,2,4,2
realcase-Sub3.json,0,3,8,4
realcase-Sub3.json,0,4,16,6
realcase-Sub3.json,0,5,32,8
realcase-Sub3.json,0,6,64,6
realcase-Sub3.json,0,7,128,4
realcase-Sub3.json,0,8,256,6
realcase-Sub3.json,0,9,512,12
realcase-Sub3.json,0,10,1024,12
realcase-Sub3.json,0,11,2048,15
realcase-Sub3.json,0,12,4096,20
realcase-Sub3.json,0,13,8192,16
realcase-Sub3.json,0,14,16384,30
realcase-Sub3.json,0,15,32768,30
realcase-Sub3.json,0,16,65536,30
realcase-Sub3.json,1,0,1,1
realcase-Sub3.json,1,1,2,1
realcase-Sub3.json,1,2,4,1
realcase-Sub3.json,1,3,8,4
realcase-Sub3.json,1,4,16,2
realcase-Sub3.json,1,5,32,4
realcase-Sub3.json,1,6,64,3
realcase-Sub3.json,1,7,128,4
realcase-Sub3.json,1,8,256,9
realcase-Sub3.json,1,9,512,16
realcase-Sub3.json,1,10,1024,20
realcase-Sub3.json,1,11,2048,20
realcase-Sub3.json,1,12,4096,24
realcase-Sub3.json,1,13,8192,15
realcase-Sub3.json,1,14,16384,16
realcase-Sub3.json,1,15,32768,30
realcase-Sub3.json,1,16,65536,30
realcase-Sub3.json,2,0,1,1
realcase-Sub3.json,2,1,2,2
realcase-Sub3.json,2,2,4,4
realcase-Sub3.json,2,3,8,4
realcase-Sub3.json,2,4,16,2
realcase-Sub3.json,2,5,32,3
realcase-Sub3.json,2,6,64,3
realcase-Sub3.json,2,7,128,15
realcase-Sub3.json,2,8,256,6
realcase-Sub3.json,2,9,512,6
realcase-Sub3.json,2,10,1024,12
realcase-Sub3.json,2,11,2048,20
realcase-Sub3.json,2,12,4096,16
realcase-Sub3.json,2,13,8192,15
realcase-Sub3.json,2,14,16384,30
realcase-Sub3.json,2,15,32768,24
realcase-Sub3.json,2,16,65536,30
realcase-Sub3.json,3,0,1,1
realcase-Sub3.json,3,1,2,1
realcase-Sub3.json,3,2,4,2
realcase-Sub3.json,3,3,8,4
realcase-Sub3.json,3,4,16,6
realcase-Sub3.json,3,5,32,4
realcase-Sub3.json,3,6,64,8
realcase-Sub3.json,3,7,128,8
realcase-Sub3.json,3,8,256,12
realcase-Sub3.json,3,9,512,24
realcase-Sub3.json,3,10,1024,9
realcase-Sub3.json,3,11,2048,10
realcase-Sub3.json,3,12,4096,24
realcase-Sub3.json,3,13,8192,20
realcase-Sub3.json,3,14,16384,24
realcase-Sub3.json,3,15,32768,24
realcase-Sub3.json,3,16,65536,30
realcase-Sub3.json,4,0,1,1
realcase-Sub3.json,4,1,2,1
realcase-Sub3.json,4,2,4,4
realcase-Sub3.json,4,3,8,2
realcase-Sub3.json,4,4,16,3
realcase-Sub3.json,4,5,32,4
realcase-Sub3.json,4,6,64,2
realcase-Sub3.json,4,7,128,8
realcase-Sub3.json,4,8,256,6
realcase-Sub3.json,4,9,512,12
realcase-Sub3.json,4,10,1024,12
realcase-Sub3.json,4,11,2048,12
realcase-Sub3.json,4,12,4096,20
realcase-Sub3.json,4,13,8192,25
realcase-Sub3.json,4,14,16384,25
realcase-Sub3.json,4,15,32768,30
realcase-Sub3.json,4,16,65536,30
realcase-Sub3.json,5,0,1,1
realcase-Sub3.json,5,1,2,1
realcase-Sub3.json,5,2,4,2
realcase-Sub3.json,5,3,8,2
realcase-Sub3.json,5,4,16,4
realcase-Sub3.json,5,5,32,4
realcase-Sub3.json,5,6,64,4
realcase-Sub3.json,5,7,128,6
realcase-Sub3.json,5,8,256,3
realcase-Sub3.json,5,9,512,15
realcase-Sub3.json,5,10,1024,10
realcase-Sub3.json,5,11,2048,18
realcase-Sub3.json,5,12,4096,15
realcase-Sub3.json,5,13,8192,30
realcase-Sub3.json,5,14,16384,20
realcase-Sub3.json,5,15,32768,24
realcase-Sub3.json,5,16,65536,30
realcase-Sub3.json,6,0,1,1
realcase-Sub3.json,6,1,2,1
realcase-Sub3.json,6,2,4,1
realcase-Sub3.json,6,3,8,3
realcase-Sub3.json,6,4,16,2
realcase-Sub3.json,6,5,32,2
realcase-Sub3.json,6,6,64,6
realcase-Sub3.json,6,7,128,6
realcase-Sub3.json,6,8,256,12
realcase-Sub3.json,6,9,512,9
