File Name,Idx Repetition,Nb. UFuses,Nb. Fuses,Nb. Configurations,Nb. Valid Conf.
realcase-Sub1.json,10,18,30,262144,360
realcase-Sub1.json,10,19,30,524288,360
realcase-Sub1.json,10,20,30,1048576,240
realcase-Sub1.json,10,21,30,2097152,324
realcase-Sub1.json,10,22,30,4194304,162
realcase-Sub1.json,10,23,30,8388608,576
realcase-Sub1.json,10,24,30,16777216,600
realcase-Sub1.json,10,25,30,33554432,600
realcase-Sub1.json,10,26,30,67108864,432
realcase-Sub1.json,10,27,30,134217728,720
realcase-Sub1.json,10,28,30,268435456,900
realcase-Sub1.json,10,29,30,536870912,1080
realcase-Sub1.json,10,30,30,1073741824,1080
realcase-Sub1.json,11,0,30,1,1
realcase-Sub1.json,11,1,30,2,2
realcase-Sub1.json,11,2,30,4,2
realcase-Sub1.json,11,3,30,8,2
realcase-Sub1.json,11,4,30,16,2
realcase-Sub1.json,11,5,30,32,8
realcase-Sub1.json,11,6,30,64,8
realcase-Sub1.json,11,7,30,128,60
realcase-Sub1.json,11,8,30,256,8
realcase-Sub1.json,11,9,30,512,12
realcase-Sub1.json,11,10,30,1024,54
realcase-Sub1.json,11,11,30,2048,24
realcase-Sub1.json,11,12,30,4096,36
realcase-Sub1.json,11,13,30,8192,48
realcase-Sub1.json,11,14,30,16384,90
realcase-Sub1.json,11,15,30,32768,60
realcase-Sub1.json,11,16,30,65536,48
realcase-Sub1.json,11,17,30,131072,108
realcase-Sub1.json,11,18,30,262144,90
realcase-Sub1.json,11,19,30,524288,180
realcase-Sub1.json,11,20,30,1048576,180
realcase-Sub1.json,11,21,30,2097152,192
realcase-Sub1.json,11,22,30,4194304,432
realcase-Sub1.json,11,23,30,8388608,288
realcase-Sub1.json,11,24,30,16777216,480
realcase-Sub1.json,11,25,30,33554432,480
realcase-Sub1.json,11,26,30,67108864,480
realcase-Sub1.json,11,27,30,134217728,900
realcase-Sub1.json,11,28,30,268435456,720
realcase-Sub1.json,11,29,30,536870912,720
realcase-Sub1.json,11,30,30,1073741824,1080
realcase-Sub1.json,12,0,30,1,1
realcase-Sub1.json,12,1,30,2,1
realcase-Sub1.json,12,2,30,4,1
realcase-Sub1.json,12,3,30,8,2
realcase-Sub1.json,12,4,30,16,8
realcase-Sub1.json,12,5,30,32,2
realcase-Sub1.json,12,6,30,64,1
realcase-Sub1.json,12,7,30,128,8
realcase-Sub1.json,12,8,30,256,8
realcase-Sub1.json,12,9,30,512,24
realcase-Sub1.json,12,10,30,1024,24
realcase-Sub1.json,12,11,30,2048,16
realcase-Sub1.json,12,12,30,4096,72
realcase-Sub1.json,12,13,30,8192,20
realcase-Sub1.json,12,14,30,16384,90
realcase-Sub1.json,12,15,30,32768,72
realcase-Sub1.json,12,16,30,65536,72
realcase-Sub1.json,12,17,30,131072,216
realcase-Sub1.json,12,18,30,262144,144
realcase-Sub1.json,12,19,30,524288,240
realcase-Sub1.json,12,20,30,1048576,108
realcase-Sub1.json,12,21,30,2097152,300
realcase-Sub1.json,12,22,30,4194304,200
realcase-Sub1.json,12,23,30,8388608,360
realcase-Sub1.json,12,24,30,16777216,720
realcase-Sub1.json,12,25,30,33554432,288
realcase-Sub1.json,12,26,30,67108864,900
realcase-Sub1.json,12,27,30,134217728,720
realcase-Sub1.json,12,28,30,268435456,720
realcase-Sub1.json,12,29,30,536870912,900
realcase-Sub1.json,12,30,30,1073741824,1080
realcase-Sub1.json,13,0,30,1,1
realcase-Sub1.json,13,1,30,2,2
realcase-Sub1.json,13,2,30,4,2
realcase-Sub1.json,13,3,30,8,6
realcase-Sub1.json,13,4,30,16,4
realcase-Sub1.json,13,5,30,32,3
realcase-Sub1.json,13,6,30,64,12
realcase-Sub1.json,13,7,30,128,16
realcase-Sub1.json,13,8,30,256,8
realcase-Sub1.json,13,9,30,512,36
realcase-Sub1.json,13,10,30,1024,24
realcase-Sub1.json,13,11,30,2048,54
realcase-Sub1.json,13,12,30,4096,36
realcase-Sub1.json,13,13,30,8192,27
realcase-Sub1.json,13,14,30,16384,180
realcase-Sub1.json,13,15,30,32768,48
